#HashTags,User,Location,Devices,Tweet,Favourites,Followers count,isVerifiedUser,Retweet Count
[],gaslygrf,monza ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WHAT ABOUT KEVIN???,1666,118,FALSE,0
['Oscar'],TaylorT68097000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ArthShahverdyan: Me judging  #Oscar looks while sitting at home with 38 dollars in my checking account: https://t.co/9l9iqFQRsh,3,0,FALSE,0
['Oscar'],aurxnsun,she,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @andrewthinker: TONIGHT IS YOUR NIGHT, MY LOVE! 

(video by @RaminSetoodeh) #Oscar https://t.co/zf882oqVA4",55121,1132,FALSE,0
['Oscar'],TimotheeMaVie,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @safefortimmy: timothée chalamet being an icon as he damn should #Oscar https://t.co/dncKXGkZe8,42059,1731,FALSE,0
['Oscar'],yessie_yg,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @LOVEROFPALLOM: TIMOTHEE CHALAMET AND ANDREW GARFIELD EVERYONE #Oscar https://t.co/fgwIgtsVWP,10348,533,FALSE,0
"['Oscar', 'Oscars2022', 'Oscar2022']",HappyHemorrhoid,Here and there,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oooohhh, so cute. Excuse me while I barf.

#Oscar #Oscars2022 #Oscar2022",4188,408,FALSE,0
['oscar'],cillianspet,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @elordifiles: jacob elordi arrives at the #oscar https://t.co/lqgGANRMWR,5535,985,FALSE,0
['Oscar'],myassistired,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Forever bitter that the 8 #Oscar winners are not getting their award in the ceremony but meanwhile the fan's favori… https://t.co/T4NSsoOEDJ,277315,1030,FALSE,0
['Oscar'],appointedluke,"theo raeken, mcu stan acc","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HIS BACK #Oscar https://t.co/RZk81knRU5,23622,7619,FALSE,0
['Oscar'],elleashryver,𝙷𝚘𝚞𝚜𝚎 𝚘𝚏 𝚆𝚒𝚗𝚍,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @UpdatesGarfield: Andrew Garfield at the #Oscar https://t.co/xmNdDYbd3W,30197,434,FALSE,0
[],swanlzy,uǝʌɐɥ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @TASMANDRW_: Andrew Garfield and Vanessa Hudgens talking about their performance during therapy is the best thing so far.  The energy th…,46965,572,FALSE,0
[],J_Nova_Kane,LIFE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Kayy_Bee94 look at her fine ass 😍,24115,5340,FALSE,0
[],FearlessOne37,United States,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this bish come through 🤩🤩🤩🤩,39633,136,FALSE,0
['bra'],elizadler13,"St Louis, MO","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oh no a fashion faux pas!  @ABCNetwork  please let the lady in the dark green dress know her #bra is showing.… https://t.co/64UgqoilV9,6572,58,FALSE,0
[],lonnyfIash,24. she/they. ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@venusquinntrap is not gonna survive this one,63442,622,FALSE,0
[],venuzbaith,inferno,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",queen,21652,501,FALSE,0
['Oscar'],importedmuslim,"Houston, TX","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @andrewthinker: HE LOOKS PERFECT! #Oscar https://t.co/UVJipPHRUR,14710,271,FALSE,0
['Oscar'],breanna_chafe,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @_mattia_meli: twitter after timothée arrived at the red carpet #Oscar https://t.co/HlkhsbwmTM,2117,141,FALSE,0
['Oscar'],Leila_Lilacs,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @IndieWire: Timothée Chalamet is here and #Oscar ready! https://t.co/SoPjvhZToF,2535,4,FALSE,0
['Oscar'],fIybitch,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @safefortimmy: #Oscar details. https://t.co/nptvz9q3Xz,28142,74,FALSE,0
['Oscar'],MatthewLWalker1,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ninaturner: Sen. Lindsey Graham (R-SC)

He gets an #Oscar for acting like he can’t vote for Ketanji Brown Jackson, even though he voted…",2598,135,FALSE,0
['Oscar'],dukelftv,16 ☆ a/4,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @21metgala: Zendaya attends the 94th #Oscar https://t.co/Elu8SuzCsV,119026,1743,FALSE,0
['Oscar'],abeetata,Somewhere in northern Arakkis ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @safefortimmy: #Oscar details. https://t.co/nptvz9q3Xz,166056,633,FALSE,0
['Oscar'],aniaf2018,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Powerful couple #Oscar,13593,83,FALSE,0
['Oscar'],whatbeyourown_,"Accra, Ghana","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FCBarcelona: 🍿 Our third #Oscar nominee is … 𝗞𝗜𝗡𝗚 𝗠𝗘𝗠𝗣𝗛𝗜𝗦 🦁

⭐ Starring: @Memphis https://t.co/7DZFtESZZg",34490,893,FALSE,0
['Oscar'],LokelaniRocks,Dancing on the moon ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Work and the #Oscar yayyyy maybe time will go by faster now 👀,59709,1561,FALSE,0
['Oscar'],eviebauer727,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Jada Pinkett Smith looking stunning in emerald green with her husband Will Smith who may win his first #Oscar tonig… https://t.co/NHmJSKdaLf,48164,15388,FALSE,0
[],sivavaid,"Virginia, USA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @afamiglietti: Oh sure, but when *I* do it, it's ""unprofessional"" and ""inappropriate teaching attire""",222487,35743,TRUE,0
"['Oscar', 'Oscars2022']",EduduLuz,"Araruama, Brasil","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @plantaonerdice: Benedict Cumberbatch e Andrew Garfield no tapete vermelho do Oscar 2022.

#Oscar #Oscars2022 https://t.co/p7pZsIuPtR",53080,1409,FALSE,0
['Oscar'],sunflowervol21,cle,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this might be the best dressed year for the oscar’s in a really long time #Oscar,59003,1143,FALSE,0
"['theoscars', 'Oscar']",momtomaxmygs,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Is anyone actually watching #theoscars? #Oscar,12646,3980,FALSE,0
"['oscar', 'oscars']",signedmarjorie,"Cair Paravel, Narnia ☽☾","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @mmorticja: I MISSED YOU SO MUCH #oscar #oscars  https://t.co/Crb7CBVqMu,4704,664,FALSE,0
['Oscar'],ShittuSanni4,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FCBarcelona: 🍿 Our third #Oscar nominee is … 𝗞𝗜𝗡𝗚 𝗠𝗘𝗠𝗣𝗛𝗜𝗦 🦁

⭐ Starring: @Memphis https://t.co/7DZFtESZZg",601,9,FALSE,0
['Oscar'],capeshits,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",More of Zendaya &amp; Andrew Garfield at the 2022 #Oscar’s! https://t.co/jUa3nwseiE,91,0,FALSE,0
"['Dune', 'Oscar', 'Oscars', 'AcademyAwards']",NextBestPicture,"Brooklyn, NY","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The #Dune Best Sound #Oscar acceptance speech #Oscars #AcademyAwards

Credit @kylebuchanan https://t.co/FdGAof0wBx",344244,49610,FALSE,0
['Oscar'],criswift,evermoreland,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @kingxnikolai: terrazzo cristallino don't even get me started #Oscar https://t.co/g3fcSs8flI,68922,728,FALSE,0
[],planofdissent,"moon she 18 blasian 🇯🇲 
ceo of fives","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SLAYYY,218875,3744,FALSE,0
[],ManonBluts,"Lisbon,Portugal","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",QUEEN!,81361,1312,FALSE,0
['Oscar'],MatthewLWalker1,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ninaturner: Sen. Kyrsten Sinema (D-AZ)

She gets an #Oscar for acting like she cares about John Lewis and his legacy, while blocking vo…",2598,135,FALSE,0
['oscar'],meyhollander,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @livelyackles: omg this is THE photo #oscar https://t.co/UL109kC9kZ,2086,485,FALSE,0
['Oscar'],R3TROFUTURE,i love you kjh you did well,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @LOVEROFPALLOM: THIS IS EVERYTHING I WANTED!!!!#Oscar https://t.co/bAwNajRbb0,36030,58,FALSE,0
"['Oscar', 'Oscars2022']",esposadopirata,Brasil,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Lulamaybelle: #Oscar nominee Kristen Stewart has arrived! #Oscars2022 https://t.co/UoaLcp2l6Q,57425,763,FALSE,0
['oscar'],himbosummit,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @a1andar: kelly mantle has just arrived to the 2022 #oscar red carpet 🤩 https://t.co/T5SX3uCgRI,78109,537,FALSE,0
['Oscar'],tatin__r,こたつのなか,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @VVFriedman: If you have to match the red carpet, you might as well do it in pants and a really great cape. Lesson in #Oscar dressing fr…",50614,555,FALSE,0
['Oscar'],TwilightRepDom,Dominican Republic,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manifesting circle #Oscar

                    🕯      🕯
           🕯                         🕯
               krist… https://t.co/PiIeiEvIFh",1036,198,FALSE,0
